Marka;Model;Yıl;Kilometre;Kasa_tipi;Motor_gücü;Çekiş;Renk;Fiyat
Peugeot;3008;2021;72.000;Crossover;132;Önden Çekiş;Gri (metalik);1.780.000
Peugeot;2008;2017;135.000;Crossover;102;Önden Çekiş;Beyaz;950.000
Volkswagen;T-Roc;2022;11.400;Crossover;150;Önden Çekiş;Gri;1.720.000
Kia;Niro;2023;10.000;Crossover;204;Önden Çekiş;Füme;1.475.000
Peugeot;3008;2022;50.000;Crossover;182;Önden Çekiş;Mavi;1.660.000
Peugeot;5008;2021;93.000;Crossover;132;Önden Çekiş;Beyaz;1.750.000
Nissan;Qashqai;2019;98.500;Crossover;160;Önden Çekiş;Siyah;1.540.000
MG;HS;2023;13.000;Crossover;162;Önden Çekiş;Beyaz;1.420.000
Fiat;Egea Cross;2021;43.000;Crossover;95;Önden Çekiş;Gri (metalik);805.000
Renault;Kadjar;2016;101.000;Crossover;110;Önden Çekiş;Beyaz;1.070.000
Seat;Arona;2024;9.450;Crossover;110;Önden Çekiş;Kırmızı;1.275.000
Ford;Puma;2023;7.700;Crossover;125;Önden Çekiş;Beyaz;1.315.000
Volkswagen;Tiguan;2012;150.000;Crossover;160;4WD (Sürekli);Beyaz;885.000
Volkswagen;Tiguan;2014;94.000;Crossover;160;Önden Çekiş;Lacivert;1.095.000
MG;ZS;2023;23.000;Crossover;111;Önden Çekiş;Gri (Gümüş);1.195.000
Nissan;Juke;2018;35.000;Crossover;117;Önden Çekiş;Beyaz;1.050.000
TOGG;T10X;2023;37.000;Crossover;218;Arkadan İtiş;Siyah;1.720.000
Volkswagen;Tiguan;2023;16.800;Crossover;150;Önden Çekiş;Kahverengi;2.420.000
Volkswagen;Tiguan;2023;24.000;Crossover;150;Önden Çekiş;Füme;1.900.000
Peugeot;3008;2022;55.000;Crossover;132;Önden Çekiş;Bordo;1.820.000
Ford;Kuga;2022;11.000;Crossover;182;Önden Çekiş;Mavi;1.945.000
Land Rover;Range Rover Sport;2012;227.000;Crossover;245;4WD (Sürekli);Beyaz;1.985.000
Nissan;X-Trail;2016;130.000;Crossover;130;Önden Çekiş;Beyaz;1.240.000
Honda;CR-V;2012;80.500;Crossover;150;4WD (Sürekli);Siyah;1.250.000
Volkswagen;T-Roc;2023;54.000;Crossover;150;Önden Çekiş;Gri;1.765.000
Citroen;C5 Aircross;2023;57.000;Crossover;130;Önden Çekiş;Lacivert;1.730.000
Kia;Sportage;2015;105.000;Crossover;135;Önden Çekiş;Beyaz;1.010.000
Hyundai;Tucson;2020;47.000;Crossover;177;Önden Çekiş;Gri;1.455.000
Nissan;Juke;2012;101.000;Crossover;117;Önden Çekiş;Kırmızı;770.000
Nissan;Qashqai;2017;119.600;Crossover;130;Önden Çekiş;Beyaz;1.280.000
Honda;HR-V;2002;279.000;Crossover;105;4WD (Sürekli);Siyah;550.000
Nissan;Qashqai;2023;49.250;Crossover;190;Önden Çekiş;Füme;2.100.000
Dacia;Duster;2014;173.000;Crossover;110;Önden Çekiş;Siyah;780.000
Fiat;Egea Cross;2023;16.000;Crossover;95;Önden Çekiş;Mavi (metalik);849.000
Citroen;C3 Aircross;2022;85.000;Crossover;130;Önden Çekiş;Gri;1.040.000
